iter	Passed	Remaining
0	1	726
1	3	654
2	5	711
3	6	660
4	7	620
5	8	590
6	10	568
7	11	548
8	12	541
9	13	543
10	15	543
11	16	533
12	17	526
13	18	519
14	19	511
15	20	503
16	22	498
17	23	494
18	24	492
19	26	495
20	27	491
21	28	489
22	29	484
23	30	481
24	31	478
25	33	478
26	34	481
27	38	510
28	39	508
29	40	503
30	42	500
31	43	496
32	44	495
33	45	493
34	47	491
35	48	491
36	49	488
37	51	486
38	52	482
39	53	484
40	54	481
41	56	479
42	57	476
43	58	473
44	59	470
45	60	467
46	62	465
47	63	463
48	64	462
49	65	459
50	66	457
51	68	455
52	69	453
53	71	457
54	72	455
55	73	452
56	74	450
57	76	449
58	78	452
59	79	450
60	80	449
61	82	447
62	83	448
63	85	447
64	86	444
65	87	443
66	89	442
67	90	440
68	91	438
69	92	435
70	93	433
71	94	431
72	95	430
73	97	428
74	98	426
75	100	427
76	101	425
77	102	423
78	103	421
79	104	419
80	106	418
81	107	416
82	108	414
83	109	413
84	111	411
85	112	410
86	113	409
87	115	408
88	116	406
89	117	403
90	118	401
91	119	400
92	120	398
93	121	396
94	123	395
95	124	394
96	125	392
97	126	391
98	128	390
99	129	388
100	130	386
101	132	385
102	133	383
103	134	382
104	135	381
105	136	379
106	138	377
107	139	376
108	140	374
109	141	373
110	142	371
111	144	370
112	145	369
113	146	367
114	147	366
115	149	365
116	150	363
117	152	364
118	153	363
119	155	362
120	156	360
121	157	359
122	158	357
123	159	355
124	161	355
125	162	354
126	164	353
127	165	351
128	166	350
129	167	348
130	168	346
131	169	345
132	171	343
133	172	342
134	173	340
135	174	339
136	175	337
137	177	336
138	178	334
139	179	333
140	180	331
141	181	330
142	182	328
143	183	327
144	185	325
145	186	324
146	187	323
147	188	321
148	190	320
149	191	318
150	192	317
151	193	315
152	194	314
153	195	313
154	197	311
155	198	309
156	199	308
157	200	306
158	202	306
159	204	306
160	206	306
161	210	308
162	212	309
163	215	310
164	218	311
165	221	311
166	223	311
167	225	311
168	226	309
169	227	308
170	229	306
171	230	305
172	231	303
173	232	302
174	233	300
175	235	299
176	236	297
177	237	296
178	238	294
179	239	293
180	241	291
181	243	291
182	244	289
183	245	288
184	246	286
185	248	285
186	249	283
187	250	282
188	251	280
189	252	279
190	253	277
191	254	276
192	255	274
193	257	272
194	258	271
195	259	270
196	260	268
197	262	267
198	263	265
199	264	264
200	265	263
201	266	261
202	268	260
203	269	258
204	270	257
205	271	255
206	272	254
207	274	253
208	275	251
209	276	250
210	277	248
211	279	247
212	280	245
213	281	244
214	282	242
215	283	241
216	284	240
217	285	238
218	287	237
219	288	236
220	290	235
221	293	235
222	296	235
223	298	234
224	301	234
225	304	234
226	307	234
227	311	235
228	314	235
229	317	234
230	320	234
231	323	234
232	325	233
233	326	231
234	327	230
235	328	228
236	330	226
237	331	225
238	332	223
239	333	222
240	334	220
241	336	219
242	337	217
243	338	216
244	339	214
245	341	213
246	342	212
247	343	210
248	345	209
249	346	207
250	347	206
251	348	204
252	349	203
253	350	201
254	351	200
255	353	198
256	354	197
257	355	195
258	356	194
259	357	192
260	358	191
261	359	189
262	361	188
263	362	186
264	363	185
265	364	183
266	365	182
267	366	180
268	367	179
269	369	177
270	370	176
271	371	174
272	372	173
273	373	171
274	374	170
275	376	168
276	377	167
277	378	166
278	380	164
279	381	163
280	382	162
281	385	161
282	386	159
283	387	158
284	388	156
285	390	155
286	391	153
287	392	152
288	393	151
289	394	149
290	395	148
291	397	146
292	398	145
293	399	144
294	400	142
295	401	141
296	402	139
297	404	138
298	405	136
299	406	135
300	407	134
301	409	132
302	410	131
303	411	130
304	413	128
305	415	127
306	418	126
307	421	125
308	424	124
309	428	124
310	431	123
311	432	122
312	434	120
313	435	119
314	436	117
315	437	116
316	438	114
317	440	113
318	442	112
319	443	110
320	444	109
321	445	107
322	446	106
323	447	105
324	449	103
325	450	102
326	451	100
327	452	99
328	453	97
329	455	96
330	456	95
331	457	93
332	458	92
333	460	90
334	461	89
335	462	88
336	463	86
337	464	85
338	465	83
339	466	82
340	468	81
341	469	79
342	470	78
343	471	76
344	473	75
345	474	74
346	475	72
347	476	71
348	478	69
349	479	68
350	480	67
351	482	65
352	483	64
353	485	63
354	486	61
355	487	60
356	488	58
357	489	57
358	491	56
359	492	54
360	493	53
361	494	51
362	496	50
363	497	49
364	498	47
365	499	46
366	500	45
367	503	43
368	504	42
369	505	40
370	506	39
371	507	38
372	508	36
373	510	35
374	511	34
375	513	32
376	514	31
377	516	30
378	518	28
379	519	27
380	522	26
381	523	24
382	525	23
383	526	21
384	527	20
385	528	19
386	529	17
387	530	16
388	532	15
389	533	13
390	534	12
391	535	10
392	536	9
393	538	8
394	539	6
395	540	5
396	541	4
397	542	2
398	543	1
399	545	0
